0x0000 | 0b0000000000000 | 000 | minecraft:air                           | minecraft:air
0x06a5 | 0b0011010100101 | 106 | minecraft:vine                          | minecraft:vine[east=false,north=true,south=true,up=false,west=false]
0x06a6 | 0b0011010100110 | 106 | minecraft:vine                          | minecraft:vine[east=false,north=true,south=false,up=false,west=true]
0x06a7 | 0b0011010100111 | 106 | minecraft:vine                          | minecraft:vine[east=false,north=true,south=true,up=false,west=true]
0x06a8 | 0b0011010101000 | 106 | minecraft:vine                          | minecraft:vine[east=true,north=false,south=false,up=false,west=false]
0x06a9 | 0b0011010101001 | 106 | minecraft:vine                          | minecraft:vine[east=true,north=false,south=true,up=false,west=false]
0x06aa | 0b0011010101010 | 106 | minecraft:vine                          | minecraft:vine[east=true,north=false,south=false,up=false,west=true]
0x06ab | 0b0011010101011 | 106 | minecraft:vine                          | minecraft:vine[east=true,north=false,south=true,up=false,west=true]
0x06ac | 0b0011010101100 | 106 | minecraft:vine                          | minecraft:vine[east=true,north=true,south=false,up=false,west=false]
0x06ad | 0b0011010101101 | 106 | minecraft:vine                          | minecraft:vine[east=true,north=true,south=true,up=false,west=false]
0x06ae | 0b0011010101110 | 106 | minecraft:vine                          | minecraft:vine[east=true,north=true,south=false,up=false,west=true]
0x06af | 0b0011010101111 | 106 | minecraft:vine                          | minecraft:vine[east=true,north=true,south=true,up=false,west=true]
0x06b0 | 0b0011010110000 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=south,in_wall=false,open=false,powered=false]
0x06b1 | 0b0011010110001 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=west,in_wall=false,open=false,powered=false]
0x06b2 | 0b0011010110010 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=north,in_wall=false,open=false,powered=false]
0x06b3 | 0b0011010110011 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=east,in_wall=false,open=false,powered=false]
0x06b4 | 0b0011010110100 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=south,in_wall=false,open=true,powered=false]
0x06b5 | 0b0011010110101 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=west,in_wall=false,open=true,powered=false]
0x06b6 | 0b0011010110110 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=north,in_wall=false,open=true,powered=false]
0x06b7 | 0b0011010110111 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=east,in_wall=false,open=true,powered=false]
0x06b8 | 0b0011010111000 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=south,in_wall=false,open=false,powered=true]
0x06b9 | 0b0011010111001 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=west,in_wall=false,open=false,powered=true]
0x06ba | 0b0011010111010 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=north,in_wall=false,open=false,powered=true]
0x06bb | 0b0011010111011 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=east,in_wall=false,open=false,powered=true]
0x06bc | 0b0011010111100 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=south,in_wall=false,open=true,powered=true]
0x06bd | 0b0011010111101 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=west,in_wall=false,open=true,powered=true]
0x06be | 0b0011010111110 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=north,in_wall=false,open=true,powered=true]
0x06bf | 0b0011010111111 | 107 | minecraft:fence_gate                    | minecraft:fence_gate[facing=east,in_wall=false,open=true,powered=true]
0x06c0 | 0b0011011000000 | 108 | minecraft:brick_stairs                  | minecraft:brick_stairs[facing=east,half=bottom,shape=outer_right]
0x06c1 | 0b0011011000001 | 108 | minecraft:brick_stairs                  | minecraft:brick_stairs[facing=west,half=bottom,shape=outer_right]
0x06c2 | 0b0011011000010 | 108 | minecraft:brick_stairs                  | minecraft:brick_stairs[facing=south,half=bottom,shape=outer_right]
0x06c3 | 0b0011011000011 | 108 | minecraft:brick_stairs                  | minecraft:brick_stairs[facing=north,half=bottom,shape=outer_right]
0x06c4 | 0b0011011000100 | 108 | minecraft:brick_stairs                  | minecraft:brick_stairs[facing=east,half=top,shape=outer_right]
0x06c5 | 0b0011011000101 | 108 | minecraft:brick_stairs                  | minecraft:brick_stairs[facing=west,half=top,shape=outer_right]
0x06c6 | 0b0011011000110 | 108 | minecraft:brick_stairs                  | minecraft:brick_stairs[facing=south,half=top,shape=outer_right]
0x06c7 | 0b0011011000111 | 108 | minecraft:brick_stairs                  | minecraft:brick_stairs[facing=north,half=top,shape=outer_right]
0x06c8 | 0b0011011001000 | --- | --------------------------------------- | ---
0x06c9 | 0b0011011001001 | --- | --------------------------------------- | ---
0x06ca | 0b0011011001010 | --- | --------------------------------------- | ---
0x06cb | 0b0011011001011 | --- | --------------------------------------- | ---
0x06cc | 0b0011011001100 | --- | --------------------------------------- | ---
0x06cd | 0b0011011001101 | --- | --------------------------------------- | ---
0x06ce | 0b0011011001110 | --- | --------------------------------------- | ---
0x06cf | 0b0011011001111 | --- | --------------------------------------- | ---
0x06d0 | 0b0011011010000 | 109 | minecraft:stone_brick_stairs            | minecraft:stone_brick_stairs[facing=east,half=bottom,shape=outer_right]
0x06d1 | 0b0011011010001 | 109 | minecraft:stone_brick_stairs            | minecraft:stone_brick_stairs[facing=west,half=bottom,shape=outer_right]
0x06d2 | 0b0011011010010 | 109 | minecraft:stone_brick_stairs            | minecraft:stone_brick_stairs[facing=south,half=bottom,shape=outer_right]
0x06d3 | 0b0011011010011 | 109 | minecraft:stone_brick_stairs            | minecraft:stone_brick_stairs[facing=north,half=bottom,shape=outer_right]
0x06d4 | 0b0011011010100 | 109 | minecraft:stone_brick_stairs            | minecraft:stone_brick_stairs[facing=east,half=top,shape=outer_right]
0x06d5 | 0b0011011010101 | 109 | minecraft:stone_brick_stairs            | minecraft:stone_brick_stairs[facing=west,half=top,shape=outer_right]
0x06d6 | 0b0011011010110 | 109 | minecraft:stone_brick_stairs            | minecraft:stone_brick_stairs[facing=south,half=top,shape=outer_right]
0x06d7 | 0b0011011010111 | 109 | minecraft:stone_brick_stairs            | minecraft:stone_brick_stairs[facing=north,half=top,shape=outer_right]
0x06d8 | 0b0011011011000 | --- | --------------------------------------- | ---
0x06d9 | 0b0011011011001 | --- | --------------------------------------- | ---
0x06da | 0b0011011011010 | --- | --------------------------------------- | ---
0x06db | 0b0011011011011 | --- | --------------------------------------- | ---
0x06dc | 0b0011011011100 | --- | --------------------------------------- | ---
0x06dd | 0b0011011011101 | --- | --------------------------------------- | ---
0x06de | 0b0011011011110 | --- | --------------------------------------- | ---
0x06df | 0b0011011011111 | --- | --------------------------------------- | ---
0x06e0 | 0b0011011100000 | 110 | minecraft:mycelium                      | minecraft:mycelium[snowy=false]
0x06e1 | 0b0011011100001 | --- | --------------------------------------- | ---
0x06e2 | 0b0011011100010 | --- | --------------------------------------- | ---
0x06e3 | 0b0011011100011 | --- | --------------------------------------- | ---
0x06e4 | 0b0011011100100 | --- | --------------------------------------- | ---
0x06e5 | 0b0011011100101 | --- | --------------------------------------- | ---
0x06e6 | 0b0011011100110 | --- | --------------------------------------- | ---
0x06e7 | 0b0011011100111 | --- | --------------------------------------- | ---
0x06e8 | 0b0011011101000 | --- | --------------------------------------- | ---
0x06e9 | 0b0011011101001 | --- | --------------------------------------- | ---
0x06ea | 0b0011011101010 | --- | --------------------------------------- | ---
0x06eb | 0b0011011101011 | --- | --------------------------------------- | ---
0x06ec | 0b0011011101100 | --- | --------------------------------------- | ---
0x06ed | 0b0011011101101 | --- | --------------------------------------- | ---
0x06ee | 0b0011011101110 | --- | --------------------------------------- | ---
0x06ef | 0b0011011101111 | --- | --------------------------------------- | ---
0x06f0 | 0b0011011110000 | 111 | minecraft:waterlily                     | minecraft:waterlily
0x06f1 | 0b0011011110001 | --- | --------------------------------------- | ---
0x06f2 | 0b0011011110010 | --- | --------------------------------------- | ---
0x06f3 | 0b0011011110011 | --- | --------------------------------------- | ---
0x06f4 | 0b0011011110100 | --- | --------------------------------------- | ---
0x06f5 | 0b0011011110101 | --- | --------------------------------------- | ---
0x06f6 | 0b0011011110110 | --- | --------------------------------------- | ---
0x06f7 | 0b0011011110111 | --- | --------------------------------------- | ---
0x06f8 | 0b0011011111000 | --- | --------------------------------------- | ---
0x06f9 | 0b0011011111001 | --- | --------------------------------------- | ---
0x06fa | 0b0011011111010 | --- | --------------------------------------- | ---
0x06fb | 0b0011011111011 | --- | --------------------------------------- | ---
0x06fc | 0b0011011111100 | --- | --------------------------------------- | ---
0x06fd | 0b0011011111101 | --- | --------------------------------------- | ---
0x06fe | 0b0011011111110 | --- | --------------------------------------- | ---
0x06ff | 0b0011011111111 | --- | --------------------------------------- | ---
0x0700 | 0b0011100000000 | 112 | minecraft:nether_brick                  | minecraft:nether_brick
0x0701 | 0b0011100000001 | --- | --------------------------------------- | ---
0x0702 | 0b0011100000010 | --- | --------------------------------------- | ---
0x0703 | 0b0011100000011 | --- | --------------------------------------- | ---
0x0704 | 0b0011100000100 | --- | --------------------------------------- | ---
0x0705 | 0b0011100000101 | --- | --------------------------------------- | ---
0x0706 | 0b0011100000110 | --- | --------------------------------------- | ---
0x0707 | 0b0011100000111 | --- | --------------------------------------- | ---
0x0708 | 0b0011100001000 | --- | --------------------------------------- | ---
0x0709 | 0b0011100001001 | --- | --------------------------------------- | ---
0x070a | 0b0011100001010 | --- | --------------------------------------- | ---
0x070b | 0b0011100001011 | --- | --------------------------------------- | ---
0x070c | 0b0011100001100 | --- | --------------------------------------- | ---
0x070d | 0b0011100001101 | --- | --------------------------------------- | ---
0x070e | 0b0011100001110 | --- | --------------------------------------- | ---
0x070f | 0b0011100001111 | --- | --------------------------------------- | ---
0x0710 | 0b0011100010000 | 113 | minecraft:nether_brick_fence            | minecraft:nether_brick_fence[east=false,north=false,south=false,west=false]
0x0711 | 0b0011100010001 | --- | --------------------------------------- | ---
0x0712 | 0b0011100010010 | --- | --------------------------------------- | ---
0x0713 | 0b0011100010011 | --- | --------------------------------------- | ---
0x0714 | 0b0011100010100 | --- | --------------------------------------- | ---
0x0715 | 0b0011100010101 | --- | --------------------------------------- | ---
0x0716 | 0b0011100010110 | --- | --------------------------------------- | ---
0x0717 | 0b0011100010111 | --- | --------------------------------------- | ---
0x0718 | 0b0011100011000 | --- | --------------------------------------- | ---
0x0719 | 0b0011100011001 | --- | --------------------------------------- | ---
0x071a | 0b0011100011010 | --- | --------------------------------------- | ---
0x071b | 0b0011100011011 | --- | --------------------------------------- | ---
0x071c | 0b0011100011100 | --- | --------------------------------------- | ---
0x071d | 0b0011100011101 | --- | --------------------------------------- | ---
0x071e | 0b0011100011110 | --- | --------------------------------------- | ---
0x071f | 0b0011100011111 | --- | --------------------------------------- | ---
0x0720 | 0b0011100100000 | 114 | minecraft:nether_brick_stairs           | minecraft:nether_brick_stairs[facing=east,half=bottom,shape=outer_right]
0x0721 | 0b0011100100001 | 114 | minecraft:nether_brick_stairs           | minecraft:nether_brick_stairs[facing=west,half=bottom,shape=outer_right]
0x0722 | 0b0011100100010 | 114 | minecraft:nether_brick_stairs           | minecraft:nether_brick_stairs[facing=south,half=bottom,shape=outer_right]
0x0723 | 0b0011100100011 | 114 | minecraft:nether_brick_stairs           | minecraft:nether_brick_stairs[facing=north,half=bottom,shape=outer_right]
0x0724 | 0b0011100100100 | 114 | minecraft:nether_brick_stairs           | minecraft:nether_brick_stairs[facing=east,half=top,shape=outer_right]
0x0725 | 0b0011100100101 | 114 | minecraft:nether_brick_stairs           | minecraft:nether_brick_stairs[facing=west,half=top,shape=outer_right]
0x0726 | 0b0011100100110 | 114 | minecraft:nether_brick_stairs           | minecraft:nether_brick_stairs[facing=south,half=top,shape=outer_right]
0x0727 | 0b0011100100111 | 114 | minecraft:nether_brick_stairs           | minecraft:nether_brick_stairs[facing=north,half=top,shape=outer_right]
0x0728 | 0b0011100101000 | --- | --------------------------------------- | ---
0x0729 | 0b0011100101001 | --- | --------------------------------------- | ---
0x072a | 0b0011100101010 | --- | --------------------------------------- | ---
0x072b | 0b0011100101011 | --- | --------------------------------------- | ---
0x072c | 0b0011100101100 | --- | --------------------------------------- | ---
0x072d | 0b0011100101101 | --- | --------------------------------------- | ---
0x072e | 0b0011100101110 | --- | --------------------------------------- | ---
0x072f | 0b0011100101111 | --- | --------------------------------------- | ---
0x0730 | 0b0011100110000 | 115 | minecraft:nether_wart                   | minecraft:nether_wart[age=0]
0x0731 | 0b0011100110001 | 115 | minecraft:nether_wart                   | minecraft:nether_wart[age=1]
0x0732 | 0b0011100110010 | 115 | minecraft:nether_wart                   | minecraft:nether_wart[age=2]
0x0733 | 0b0011100110011 | 115 | minecraft:nether_wart                   | minecraft:nether_wart[age=3]
0x0734 | 0b0011100110100 | --- | --------------------------------------- | ---
0x0735 | 0b0011100110101 | --- | --------------------------------------- | ---
0x0736 | 0b0011100110110 | --- | --------------------------------------- | ---
0x0737 | 0b0011100110111 | --- | --------------------------------------- | ---
0x0738 | 0b0011100111000 | --- | --------------------------------------- | ---
0x0739 | 0b0011100111001 | --- | --------------------------------------- | ---
0x073a | 0b0011100111010 | --- | --------------------------------------- | ---
0x073b | 0b0011100111011 | --- | --------------------------------------- | ---
0x073c | 0b0011100111100 | --- | --------------------------------------- | ---
0x073d | 0b0011100111101 | --- | --------------------------------------- | ---
0x073e | 0b0011100111110 | --- | --------------------------------------- | ---
0x073f | 0b0011100111111 | --- | --------------------------------------- | ---
0x0740 | 0b0011101000000 | 116 | minecraft:enchanting_table              | minecraft:enchanting_table
0x0741 | 0b0011101000001 | --- | --------------------------------------- | ---
0x0742 | 0b0011101000010 | --- | --------------------------------------- | ---
0x0743 | 0b0011101000011 | --- | --------------------------------------- | ---
0x0744 | 0b0011101000100 | --- | --------------------------------------- | ---
0x0745 | 0b0011101000101 | --- | --------------------------------------- | ---
0x0746 | 0b0011101000110 | --- | --------------------------------------- | ---
0x0747 | 0b0011101000111 | --- | --------------------------------------- | ---
0x0748 | 0b0011101001000 | --- | --------------------------------------- | ---
0x0749 | 0b0011101001001 | --- | --------------------------------------- | ---
0x074a | 0b0011101001010 | --- | --------------------------------------- | ---
0x074b | 0b0011101001011 | --- | --------------------------------------- | ---
0x074c | 0b0011101001100 | --- | --------------------------------------- | ---
0x074d | 0b0011101001101 | --- | --------------------------------------- | ---
0x074e | 0b0011101001110 | --- | --------------------------------------- | ---
0x074f | 0b0011101001111 | --- | --------------------------------------- | ---
0x0750 | 0b0011101010000 | 117 | minecraft:brewing_stand                 | minecraft:brewing_stand[has_bottle_0=false,has_bottle_1=false,has_bottle_2=false]
0x0751 | 0b0011101010001 | 117 | minecraft:brewing_stand                 | minecraft:brewing_stand[has_bottle_0=true,has_bottle_1=false,has_bottle_2=false]
0x0752 | 0b0011101010010 | 117 | minecraft:brewing_stand                 | minecraft:brewing_stand[has_bottle_0=false,has_bottle_1=true,has_bottle_2=false]
0x0753 | 0b0011101010011 | 117 | minecraft:brewing_stand                 | minecraft:brewing_stand[has_bottle_0=true,has_bottle_1=true,has_bottle_2=false]
0x0754 | 0b0011101010100 | 117 | minecraft:brewing_stand                 | minecraft:brewing_stand[has_bottle_0=false,has_bottle_1=false,has_bottle_2=true]
0x0755 | 0b0011101010101 | 117 | minecraft:brewing_stand                 | minecraft:brewing_stand[has_bottle_0=true,has_bottle_1=false,has_bottle_2=true]
0x0756 | 0b0011101010110 | 117 | minecraft:brewing_stand                 | minecraft:brewing_stand[has_bottle_0=false,has_bottle_1=true,has_bottle_2=true]
0x0757 | 0b0011101010111 | 117 | minecraft:brewing_stand                 | minecraft:brewing_stand[has_bottle_0=true,has_bottle_1=true,has_bottle_2=true]
0x0758 | 0b0011101011000 | --- | --------------------------------------- | ---
0x0759 | 0b0011101011001 | --- | --------------------------------------- | ---
0x075a | 0b0011101011010 | --- | --------------------------------------- | ---
0x075b | 0b0011101011011 | --- | --------------------------------------- | ---
0x075c | 0b0011101011100 | --- | --------------------------------------- | ---
0x075d | 0b0011101011101 | --- | --------------------------------------- | ---
0x075e | 0b0011101011110 | --- | --------------------------------------- | ---
0x075f | 0b0011101011111 | --- | --------------------------------------- | ---
0x0760 | 0b0011101100000 | 118 | minecraft:cauldron                      | minecraft:cauldron[level=0]
0x0761 | 0b0011101100001 | 118 | minecraft:cauldron                      | minecraft:cauldron[level=1]
0x0762 | 0b0011101100010 | 118 | minecraft:cauldron                      | minecraft:cauldron[level=2]
0x0763 | 0b0011101100011 | 118 | minecraft:cauldron                      | minecraft:cauldron[level=3]
0x0764 | 0b0011101100100 | --- | --------------------------------------- | ---
0x0765 | 0b0011101100101 | --- | --------------------------------------- | ---
0x0766 | 0b0011101100110 | --- | --------------------------------------- | ---
0x0767 | 0b0011101100111 | --- | --------------------------------------- | ---
0x0768 | 0b0011101101000 | --- | --------------------------------------- | ---
0x0769 | 0b0011101101001 | --- | --------------------------------------- | ---
0x076a | 0b0011101101010 | --- | --------------------------------------- | ---
0x076b | 0b0011101101011 | --- | --------------------------------------- | ---
0x076c | 0b0011101101100 | --- | --------------------------------------- | ---
0x076d | 0b0011101101101 | --- | --------------------------------------- | ---
0x076e | 0b0011101101110 | --- | --------------------------------------- | ---
0x076f | 0b0011101101111 | --- | --------------------------------------- | ---
0x0770 | 0b0011101110000 | 119 | minecraft:end_portal                    | minecraft:end_portal
0x0771 | 0b0011101110001 | --- | --------------------------------------- | ---
0x0772 | 0b0011101110010 | --- | --------------------------------------- | ---
0x0773 | 0b0011101110011 | --- | --------------------------------------- | ---
0x0774 | 0b0011101110100 | --- | --------------------------------------- | ---
0x0775 | 0b0011101110101 | --- | --------------------------------------- | ---
0x0776 | 0b0011101110110 | --- | --------------------------------------- | ---
0x0777 | 0b0011101110111 | --- | --------------------------------------- | ---
0x0778 | 0b0011101111000 | --- | --------------------------------------- | ---
0x0779 | 0b0011101111001 | --- | --------------------------------------- | ---
0x077a | 0b0011101111010 | --- | --------------------------------------- | ---
0x077b | 0b0011101111011 | --- | --------------------------------------- | ---
0x077c | 0b0011101111100 | --- | --------------------------------------- | ---
0x077d | 0b0011101111101 | --- | --------------------------------------- | ---
0x077e | 0b0011101111110 | --- | --------------------------------------- | ---
0x077f | 0b0011101111111 | --- | --------------------------------------- | ---
0x0780 | 0b0011110000000 | 120 | minecraft:end_portal_frame              | minecraft:end_portal_frame[eye=false,facing=south]
0x0781 | 0b0011110000001 | 120 | minecraft:end_portal_frame              | minecraft:end_portal_frame[eye=false,facing=west]
0x0782 | 0b0011110000010 | 120 | minecraft:end_portal_frame              | minecraft:end_portal_frame[eye=false,facing=north]
0x0783 | 0b0011110000011 | 120 | minecraft:end_portal_frame              | minecraft:end_portal_frame[eye=false,facing=east]
0x0784 | 0b0011110000100 | 120 | minecraft:end_portal_frame              | minecraft:end_portal_frame[eye=true,facing=south]
0x0785 | 0b0011110000101 | 120 | minecraft:end_portal_frame              | minecraft:end_portal_frame[eye=true,facing=west]
0x0786 | 0b0011110000110 | 120 | minecraft:end_portal_frame              | minecraft:end_portal_frame[eye=true,facing=north]
0x0787 | 0b0011110000111 | 120 | minecraft:end_portal_frame              | minecraft:end_portal_frame[eye=true,facing=east]
0x0788 | 0b0011110001000 | --- | --------------------------------------- | ---
0x0789 | 0b0011110001001 | --- | --------------------------------------- | ---
0x078a | 0b0011110001010 | --- | --------------------------------------- | ---
0x078b | 0b0011110001011 | --- | --------------------------------------- | ---
0x078c | 0b0011110001100 | --- | --------------------------------------- | ---
0x078d | 0b0011110001101 | --- | --------------------------------------- | ---
0x078e | 0b0011110001110 | --- | --------------------------------------- | ---
0x078f | 0b0011110001111 | --- | --------------------------------------- | ---
0x0790 | 0b0011110010000 | 121 | minecraft:end_stone                     | minecraft:end_stone
0x0791 | 0b0011110010001 | --- | --------------------------------------- | ---
0x0792 | 0b0011110010010 | --- | --------------------------------------- | ---
0x0793 | 0b0011110010011 | --- | --------------------------------------- | ---
0x0794 | 0b0011110010100 | --- | --------------------------------------- | ---
0x0795 | 0b0011110010101 | --- | --------------------------------------- | ---
0x0796 | 0b0011110010110 | --- | --------------------------------------- | ---
0x0797 | 0b0011110010111 | --- | --------------------------------------- | ---
0x0798 | 0b0011110011000 | --- | --------------------------------------- | ---
0x0799 | 0b0011110011001 | --- | --------------------------------------- | ---
0x079a | 0b0011110011010 | --- | --------------------------------------- | ---
0x079b | 0b0011110011011 | --- | --------------------------------------- | ---
0x079c | 0b0011110011100 | --- | --------------------------------------- | ---
0x079d | 0b0011110011101 | --- | --------------------------------------- | ---
0x079e | 0b0011110011110 | --- | --------------------------------------- | ---
0x079f | 0b0011110011111 | --- | --------------------------------------- | ---
0x07a0 | 0b0011110100000 | 122 | minecraft:dragon_egg                    | minecraft:dragon_egg
0x07a1 | 0b0011110100001 | --- | --------------------------------------- | ---
0x07a2 | 0b0011110100010 | --- | --------------------------------------- | ---
0x07a3 | 0b0011110100011 | --- | --------------------------------------- | ---
0x07a4 | 0b0011110100100 | --- | --------------------------------------- | ---
0x07a5 | 0b0011110100101 | --- | --------------------------------------- | ---
0x07a6 | 0b0011110100110 | --- | --------------------------------------- | ---
0x07a7 | 0b0011110100111 | --- | --------------------------------------- | ---
0x07a8 | 0b0011110101000 | --- | --------------------------------------- | ---
0x07a9 | 0b0011110101001 | --- | --------------------------------------- | ---
0x07aa | 0b0011110101010 | --- | --------------------------------------- | ---
0x07ab | 0b0011110101011 | --- | --------------------------------------- | ---
0x07ac | 0b0011110101100 | --- | --------------------------------------- | ---
0x07ad | 0b0011110101101 | --- | --------------------------------------- | ---
0x07ae | 0b0011110101110 | --- | --------------------------------------- | ---
0x07af | 0b0011110101111 | --- | --------------------------------------- | ---
0x07b0 | 0b0011110110000 | 123 | minecraft:redstone_lamp                 | minecraft:redstone_lamp
0x07b1 | 0b0011110110001 | --- | --------------------------------------- | ---
0x07b2 | 0b0011110110010 | --- | --------------------------------------- | ---
0x07b3 | 0b0011110110011 | --- | --------------------------------------- | ---
0x07b4 | 0b0011110110100 | --- | --------------------------------------- | ---
0x07b5 | 0b0011110110101 | --- | --------------------------------------- | ---
0x07b6 | 0b0011110110110 | --- | --------------------------------------- | ---
0x07b7 | 0b0011110110111 | --- | --------------------------------------- | ---
0x07b8 | 0b0011110111000 | --- | --------------------------------------- | ---
0x07b9 | 0b0011110111001 | --- | --------------------------------------- | ---
0x07ba | 0b0011110111010 | --- | --------------------------------------- | ---
0x07bb | 0b0011110111011 | --- | --------------------------------------- | ---
0x07bc | 0b0011110111100 | --- | --------------------------------------- | ---
0x07bd | 0b0011110111101 | --- | --------------------------------------- | ---
0x07be | 0b0011110111110 | --- | --------------------------------------- | ---
0x07bf | 0b0011110111111 | --- | --------------------------------------- | ---
0x07c0 | 0b0011111000000 | 124 | minecraft:lit_redstone_lamp             | minecraft:lit_redstone_lamp
0x07c1 | 0b0011111000001 | --- | --------------------------------------- | ---
0x07c2 | 0b0011111000010 | --- | --------------------------------------- | ---
0x07c3 | 0b0011111000011 | --- | --------------------------------------- | ---
0x07c4 | 0b0011111000100 | --- | --------------------------------------- | ---
0x07c5 | 0b0011111000101 | --- | --------------------------------------- | ---
0x07c6 | 0b0011111000110 | --- | --------------------------------------- | ---
0x07c7 | 0b0011111000111 | --- | --------------------------------------- | ---
0x07c8 | 0b0011111001000 | --- | --------------------------------------- | ---
0x07c9 | 0b0011111001001 | --- | --------------------------------------- | ---
0x07ca | 0b0011111001010 | --- | --------------------------------------- | ---
0x07cb | 0b0011111001011 | --- | --------------------------------------- | ---
0x07cc | 0b0011111001100 | --- | --------------------------------------- | ---
0x07cd | 0b0011111001101 | --- | --------------------------------------- | ---
0x07ce | 0b0011111001110 | --- | --------------------------------------- | ---
0x07cf | 0b0011111001111 | --- | --------------------------------------- | ---
0x07d0 | 0b0011111010000 | 125 | minecraft:double_wooden_slab            | minecraft:double_wooden_slab[variant=oak]
0x07d1 | 0b0011111010001 | 125 | minecraft:double_wooden_slab            | minecraft:double_wooden_slab[variant=spruce]
0x07d2 | 0b0011111010010 | 125 | minecraft:double_wooden_slab            | minecraft:double_wooden_slab[variant=birch]
0x07d3 | 0b0011111010011 | 125 | minecraft:double_wooden_slab            | minecraft:double_wooden_slab[variant=jungle]
0x07d4 | 0b0011111010100 | 125 | minecraft:double_wooden_slab            | minecraft:double_wooden_slab[variant=acacia]
0x07d5 | 0b0011111010101 | 125 | minecraft:double_wooden_slab            | minecraft:double_wooden_slab[variant=dark_oak]
0x07d6 | 0b0011111010110 | --- | --------------------------------------- | ---
0x07d7 | 0b0011111010111 | --- | --------------------------------------- | ---
0x07d8 | 0b0011111011000 | --- | --------------------------------------- | ---
0x07d9 | 0b0011111011001 | --- | --------------------------------------- | ---
0x07da | 0b0011111011010 | --- | --------------------------------------- | ---
0x07db | 0b0011111011011 | --- | --------------------------------------- | ---
0x07dc | 0b0011111011100 | --- | --------------------------------------- | ---
0x07dd | 0b0011111011101 | --- | --------------------------------------- | ---
0x07de | 0b0011111011110 | --- | --------------------------------------- | ---
0x07df | 0b0011111011111 | --- | --------------------------------------- | ---
0x07e0 | 0b0011111100000 | 126 | minecraft:wooden_slab                   | minecraft:wooden_slab[half=bottom,variant=oak]
0x07e1 | 0b0011111100001 | 126 | minecraft:wooden_slab                   | minecraft:wooden_slab[half=bottom,variant=spruce]
0x07e2 | 0b0011111100010 | 126 | minecraft:wooden_slab                   | minecraft:wooden_slab[half=bottom,variant=birch]
0x07e3 | 0b0011111100011 | 126 | minecraft:wooden_slab                   | minecraft:wooden_slab[half=bottom,variant=jungle]
0x07e4 | 0b0011111100100 | 126 | minecraft:wooden_slab                   | minecraft:wooden_slab[half=bottom,variant=acacia]
0x07e5 | 0b0011111100101 | 126 | minecraft:wooden_slab                   | minecraft:wooden_slab[half=bottom,variant=dark_oak]
0x07e6 | 0b0011111100110 | --- | --------------------------------------- | ---
0x07e7 | 0b0011111100111 | --- | --------------------------------------- | ---
0x07e8 | 0b0011111101000 | 126 | minecraft:wooden_slab                   | minecraft:wooden_slab[half=top,variant=oak]
0x07e9 | 0b0011111101001 | 126 | minecraft:wooden_slab                   | minecraft:wooden_slab[half=top,variant=spruce]
0x07ea | 0b0011111101010 | 126 | minecraft:wooden_slab                   | minecraft:wooden_slab[half=top,variant=birch]
0x07eb | 0b0011111101011 | 126 | minecraft:wooden_slab                   | minecraft:wooden_slab[half=top,variant=jungle]
0x07ec | 0b0011111101100 | 126 | minecraft:wooden_slab                   | minecraft:wooden_slab[half=top,variant=acacia]
0x07ed | 0b0011111101101 | 126 | minecraft:wooden_slab                   | minecraft:wooden_slab[half=top,variant=dark_oak]
0x07ee | 0b0011111101110 | --- | --------------------------------------- | ---
0x07ef | 0b0011111101111 | --- | --------------------------------------- | ---
0x07f0 | 0b0011111110000 | 127 | minecraft:cocoa                         | minecraft:cocoa[age=0,facing=south]
0x07f1 | 0b0011111110001 | 127 | minecraft:cocoa                         | minecraft:cocoa[age=0,facing=west]
0x07f2 | 0b0011111110010 | 127 | minecraft:cocoa                         | minecraft:cocoa[age=0,facing=north]
0x07f3 | 0b0011111110011 | 127 | minecraft:cocoa                         | minecraft:cocoa[age=0,facing=east]
0x07f4 | 0b0011111110100 | 127 | minecraft:cocoa                         | minecraft:cocoa[age=1,facing=south]
0x07f5 | 0b0011111110101 | 127 | minecraft:cocoa                         | minecraft:cocoa[age=1,facing=west]
0x07f6 | 0b0011111110110 | 127 | minecraft:cocoa                         | minecraft:cocoa[age=1,facing=north]
0x07f7 | 0b0011111110111 | 127 | minecraft:cocoa                         | minecraft:cocoa[age=1,facing=east]
0x07f8 | 0b0011111111000 | 127 | minecraft:cocoa                         | minecraft:cocoa[age=2,facing=south]
